PING 172.31.47.114 (172.31.47.114) 56(84) bytes of data.
64 bytes from 172.31.47.114: icmp_seq=1 ttl=127 time=0.782 ms
64 bytes from 172.31.47.114: icmp_seq=2 ttl=127 time=0.374 ms
64 bytes from 172.31.47.114: icmp_seq=3 ttl=127 time=0.320 ms
64 bytes from 172.31.47.114: icmp_seq=4 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=5 ttl=127 time=0.295 ms
64 bytes from 172.31.47.114: icmp_seq=6 ttl=127 time=0.395 ms
64 bytes from 172.31.47.114: icmp_seq=7 ttl=127 time=0.411 ms
64 bytes from 172.31.47.114: icmp_seq=8 ttl=127 time=0.338 ms
64 bytes from 172.31.47.114: icmp_seq=9 ttl=127 time=0.391 ms
64 bytes from 172.31.47.114: icmp_seq=10 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=11 ttl=127 time=0.334 ms
64 bytes from 172.31.47.114: icmp_seq=12 ttl=127 time=0.342 ms
64 bytes from 172.31.47.114: icmp_seq=13 ttl=127 time=0.403 ms
64 bytes from 172.31.47.114: icmp_seq=14 ttl=127 time=0.385 ms
64 bytes from 172.31.47.114: icmp_seq=15 ttl=127 time=0.297 ms
64 bytes from 172.31.47.114: icmp_seq=16 ttl=127 time=0.308 ms
64 bytes from 172.31.47.114: icmp_seq=17 ttl=127 time=0.303 ms
64 bytes from 172.31.47.114: icmp_seq=18 ttl=127 time=0.285 ms
64 bytes from 172.31.47.114: icmp_seq=19 ttl=127 time=0.333 ms
64 bytes from 172.31.47.114: icmp_seq=20 ttl=127 time=0.429 ms
64 bytes from 172.31.47.114: icmp_seq=21 ttl=127 time=0.316 ms
64 bytes from 172.31.47.114: icmp_seq=22 ttl=127 time=0.375 ms
64 bytes from 172.31.47.114: icmp_seq=23 ttl=127 time=0.378 ms
64 bytes from 172.31.47.114: icmp_seq=24 ttl=127 time=0.328 ms
64 bytes from 172.31.47.114: icmp_seq=25 ttl=127 time=0.344 ms
64 bytes from 172.31.47.114: icmp_seq=26 ttl=127 time=0.368 ms
64 bytes from 172.31.47.114: icmp_seq=27 ttl=127 time=0.324 ms
64 bytes from 172.31.47.114: icmp_seq=28 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=29 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=30 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=31 ttl=127 time=0.336 ms
64 bytes from 172.31.47.114: icmp_seq=32 ttl=127 time=0.447 ms
64 bytes from 172.31.47.114: icmp_seq=33 ttl=127 time=0.341 ms
64 bytes from 172.31.47.114: icmp_seq=34 ttl=127 time=0.589 ms
64 bytes from 172.31.47.114: icmp_seq=35 ttl=127 time=0.430 ms
64 bytes from 172.31.47.114: icmp_seq=36 ttl=127 time=0.374 ms
